depth,decToOutputEdges,inputToDecEdges,outputToDecEdges,numberOfNodes,numberOfEdges,numberOfInputNodes,numberOfOutputNodes,numberOfDecisionNodes,booleanExprTime,graphBuildingTime,dnf_time
3,2,2,2,7,6,4,1,2,24,0,1
3,2,2,3,7,6,4,1,2,24,0,0
3,2,2,4,7,6,4,1,2,24,0,0
3,2,3,2,9,8,6,1,2,23,0,1
3,2,3,3,9,8,6,1,2,26,0,0
3,2,3,4,9,8,6,1,2,25,0,0
3,3,2,2,10,9,6,1,3,24,0,1
3,3,2,3,10,9,6,1,3,26,0,1
3,3,2,4,10,9,6,1,3,26,0,1
3,2,4,2,11,10,8,1,2,25,0,1
3,2,4,3,11,10,8,1,2,25,0,1
3,2,4,4,11,10,8,1,2,24,0,2
3,3,3,2,13,12,9,1,3,28,0,4
3,3,3,3,13,12,9,1,3,29,0,4
3,3,3,4,13,12,9,1,3,28,0,5
3,4,2,2,13,12,8,1,4,28,0,5
3,4,2,3,13,12,8,1,4,29,0,5
3,4,2,4,13,12,8,1,4,30,0,5
3,3,4,2,16,15,12,1,3,89,0,47
3,3,4,3,16,15,12,1,3,66,0,50
3,3,4,4,16,15,12,1,3,71,0,48
3,4,3,2,17,16,12,1,4,116,0,82
3,4,3,3,17,16,12,1,4,143,0,72
3,4,3,4,17,16,12,1,4,127,0,109
3,4,4,2,21,20,16,1,4,2240,0,1468
3,4,4,3,21,20,16,1,4,2033,0,1564
3,4,4,4,21,20,16,1,4,1966,0,1350
4,2,2,2
5,2,2,2
4,2,3,2
