depth,decToOutputEdges,inputToDecEdges,outputToDecEdges,numberOfNodes,numberOfEdges,numberOfInputNodes,numberOfOutputNodes,numberOfDecisionNodes,booleanExprTime,graphBuildingTime,dnf_time
3,2,2,2,7,6,4,1,2,0,0,46
3,2,2,3,7,6,4,1,2,0,0,43
3,2,2,4,7,6,4,1,2,0,0,44
3,2,3,2,9,8,6,1,2,0,0,42
3,2,3,3,9,8,6,1,2,0,1,44
3,2,3,4,9,8,6,1,2,0,0,44
3,3,2,2,10,9,6,1,3,1,0,40
3,3,2,3,10,9,6,1,3,0,0,41
3,3,2,4,10,9,6,1,3,0,0,44
3,2,4,2,11,10,8,1,2,0,0,43
3,2,4,3,11,10,8,1,2,0,0,46
3,2,4,4,11,10,8,1,2,0,1,38
3,3,3,2,13,12,9,1,3,0,0,39
3,3,3,3,13,12,9,1,3,0,0,39
3,3,3,4,13,12,9,1,3,0,1,39
3,4,2,2,13,12,8,1,4,0,0,44
3,4,2,3,13,12,8,1,4,0,0,43
3,4,2,4,13,12,8,1,4,0,0,44
3,3,4,2,16,15,12,1,3,0,0,42
3,3,4,3,16,15,12,1,3,0,0,45
3,3,4,4,16,15,12,1,3,0,0,46
3,4,3,2,17,16,12,1,4,0,0,48
3,4,3,3,17,16,12,1,4,0,0,44
3,4,3,4,17,16,12,1,4,0,0,42
3,4,4,2,21,20,16,1,4,0,0,46
3,4,4,3,21,20,16,1,4,0,0,48
3,4,4,4,21,20,16,1,4,0,1,45
4,2,2,2,35,34,20,5,10,0,0,54
5,2,2,2,35,34,20,5,10,0,0,44
4,2,3,2,45,44,30,5,10,0,0,45
5,2,3,2,45,44,30,5,10,0,0,43
4,2,2,3,49,48,28,7,14,0,1,58
5,2,2,3,49,48,28,7,14,0,1,46
4,2,4,2,55,54,40,5,10,0,0,46
5,2,4,2,55,54,40,5,10,0,0,46
4,2,2,4,63,62,36,9,18,0,1,51
4,2,3,3,63,62,42,7,14,0,0,47
5,2,2,4,63,62,36,9,18,0,1,47
5,2,3,3,63,62,42,7,14,0,1,44
4,3,2,2,70,69,42,7,21,0,1,45
5,3,2,2,70,69,42,7,21,0,0,45
4,2,4,3,77,76,56,7,14,1,0,45
5,2,4,3,77,76,56,7,14,0,1,45
4,2,3,4,81,80,54,9,18,0,1,47
5,2,3,4,81,80,54,9,18,0,1,49
4,3,3,2,91,90,63,7,21,0,1,46
5,3,3,2,91,90,63,7,21,0,0,47
4,2,4,4,99,98,72,9,18,0,1,49
5,2,4,4,99,98,72,9,18,0,1,49
4,3,2,3,100,99,60,10,30,0,1,52
5,3,2,3,100,99,60,10,30,0,1,52
4,3,4,2,112,111,84,7,21,0,1,47
5,3,4,2,112,111,84,7,21,0,0,48
4,4,2,2,117,116,72,9,36,0,2,49
5,4,2,2,117,116,72,9,36,0,2,54
4,3,2,4,130,129,78,13,39,0,4,71
4,3,3,3,130,129,90,10,30,0,2,53
5,3,2,4,130,129,78,13,39,0,6,69
5,3,3,3,130,129,90,10,30,0,1,55
6,2,2,2,147,146,84,21,42,0,2,66
4,4,3,2,153,152,108,9,36,1,0,53
5,4,3,2,153,152,108,9,36,0,1,53
4,3,4,3,160,159,120,10,30,0,2,57
5,3,4,3,160,159,120,10,30,0,2,56
4,3,3,4,169,168,117,13,39,0,4,78
4,4,2,3,169,168,104,13,52,0,3,70
5,3,3,4,169,168,117,13,39,0,5,77
5,4,2,3,169,168,104,13,52,0,5,70
4,4,4,2,189,188,144,9,36,0,1,57
5,4,4,2,189,188,144,9,36,0,1,56
6,2,3,2,189,188,126,21,42,0,4,71
4,3,4,4,208,207,156,13,39,0,13,84
5,3,4,4,208,207,156,13,39,0,17,88
4,4,2,4,221,220,136,17,68,0,22,192
4,4,3,3,221,220,156,13,52,0,9,78
5,4,2,4,221,220,136,17,68,0,23,193
5,4,3,3,221,220,156,13,52,0,10,78
6,2,4,2,231,230,168,21,42,0,10,78
4,4,4,3,273,272,208,13,52,0,11,83
5,4,4,3,273,272,208,13,52,0,11,94
4,4,3,4,289,288,204,17,68,0,29,227
5,4,3,4,289,288,204,17,68,0,27,231
6,2,2,3,301,300,172,43,86,0,386,16382
4,4,4,4,357,356,272,17,68,0,38,263
5,4,4,4,357,356,272,17,68,0,33,262
6,2,3,3,387,386,258,43,86,0,483,20657
6,3,2,2,430,429,258,43,129,0,54,730
6,2,4,3,473,472,344,43,86,0,610,24617
