depth;decToOutputEdges;inputToDecEdges;outputToDecEdges;numberOfNodes;numberOfEdges;numberOfInputNodes;numberOfOutputNodes;numberOfDecisionNodes
3;2;2;2;7;6;4;1;2
3;2;2;3;7;6;4;1;2
3;2;2;4;7;6;4;1;2
3;2;3;2;9;8;6;1;2
3;2;3;3;9;8;6;1;2
3;2;3;4;9;8;6;1;2
3;3;2;2;10;9;6;1;3
3;3;2;3;10;9;6;1;3
3;3;2;4;10;9;6;1;3
3;2;4;2;11;10;8;1;2
3;2;4;3;11;10;8;1;2
3;2;4;4;11;10;8;1;2
3;3;3;2;13;12;9;1;3
3;3;3;3;13;12;9;1;3
3;3;3;4;13;12;9;1;3
3;4;2;2;13;12;8;1;4
3;4;2;3;13;12;8;1;4
3;4;2;4;13;12;8;1;4
3;3;4;2;16;15;12;1;3
3;3;4;3;16;15;12;1;3
3;3;4;4;16;15;12;1;3
3;4;3;2;17;16;12;1;4
3;4;3;3;17;16;12;1;4
3;4;3;4;17;16;12;1;4
3;4;4;2;21;20;16;1;4
3;4;4;3;21;20;16;1;4
3;4;4;4;21;20;16;1;4
4;2;2;2;35;34;20;5;10
5;2;2;2;35;34;20;5;10
4;2;3;2;45;44;30;5;10
5;2;3;2;45;44;30;5;10
4;2;2;3;49;48;28;7;14
5;2;2;3;49;48;28;7;14
4;2;4;2;55;54;40;5;10
5;2;4;2;55;54;40;5;10
4;2;2;4;63;62;36;9;18
4;2;3;3;63;62;42;7;14
5;2;2;4;63;62;36;9;18
5;2;3;3;63;62;42;7;14
4;3;2;2;70;69;42;7;21
5;3;2;2;70;69;42;7;21
4;2;4;3;77;76;56;7;14
5;2;4;3;77;76;56;7;14
4;2;3;4;81;80;54;9;18
5;2;3;4;81;80;54;9;18
4;3;3;2;91;90;63;7;21
5;3;3;2;91;90;63;7;21
4;2;4;4;99;98;72;9;18
5;2;4;4;99;98;72;9;18
4;3;2;3;100;99;60;10;30
5;3;2;3;100;99;60;10;30
4;3;4;2;112;111;84;7;21
5;3;4;2;112;111;84;7;21
4;4;2;2;117;116;72;9;36
5;4;2;2;117;116;72;9;36
4;3;2;4;130;129;78;13;39
4;3;3;3;130;129;90;10;30
5;3;2;4;130;129;78;13;39
5;3;3;3;130;129;90;10;30
6;2;2;2;147;146;84;21;42
4;4;3;2;153;152;108;9;36
5;4;3;2;153;152;108;9;36
4;3;4;3;160;159;120;10;30
5;3;4;3;160;159;120;10;30
4;3;3;4;169;168;117;13;39
4;4;2;3;169;168;104;13;52
5;3;3;4;169;168;117;13;39
5;4;2;3;169;168;104;13;52
4;4;4;2;189;188;144;9;36
5;4;4;2;189;188;144;9;36
6;2;3;2;189;188;126;21;42
4;3;4;4;208;207;156;13;39
5;3;4;4;208;207;156;13;39
4;4;2;4;221;220;136;17;68
4;4;3;3;221;220;156;13;52
5;4;2;4;221;220;136;17;68
5;4;3;3;221;220;156;13;52
6;2;4;2;231;230;168;21;42
4;4;4;3;273;272;208;13;52
5;4;4;3;273;272;208;13;52
4;4;3;4;289;288;204;17;68
5;4;3;4;289;288;204;17;68
6;2;2;3;301;300;172;43;86
4;4;4;4;357;356;272;17;68
5;4;4;4;357;356;272;17;68
6;2;3;3;387;386;258;43;86
6;3;2;2;430;429;258;43;129
6;2;4;3;473;472;344;43;86
